name,normalized_name,description,type,source,source_id,language_hint,romanized,alias_of,confidence
Adam,adam,"first man according to the Abrahamic creation and religions such as Judaism, Christianity and Islam",fictional_character,wikidata_fictional_characters_en,Q70899,en_romanized,true,,0.92
Pandora,pandora,"mythological figure, first human woman created by Hephaestus",fictional_character,wikidata_fictional_characters_en,Q131346,en_romanized,true,,0.92
Arya,arya,character in Inheritance Cycle tetralogy,fictional_character,wikidata_fictional_characters_en,Q778400,en_romanized,true,,0.92
Bull Demon King,bull demon king,character in the novel Journey to the West,fictional_character,wikidata_fictional_characters_en,Q834590,en_romanized,true,,0.92
Krampus,krampus,mythical figure,fictional_character,wikidata_fictional_characters_en,Q925042,en_romanized,true,,0.92
Andriambahomanana,andriambahomanana,first man in Malagasy mythology,fictional_character,wikidata_fictional_characters_en,Q980598,en_romanized,true,,0.92
Keyumars,keyumars,ancient Iranian mythological figure,fictional_character,wikidata_fictional_characters_en,Q1077286,en_romanized,true,,0.92
Sumiyoshi sanjin,sumiyoshi sanjin,Shinto gods of the sea and sailing,fictional_character,wikidata_fictional_characters_en,Q1114013,en_romanized,true,,0.92
Laurana Kanan,laurana kanan,fictional character from Dragonlance,fictional_character,wikidata_fictional_characters_en,Q1130642,en_romanized,true,,0.92
Daode Tianzun,daode tianzun,deification of Laozi in the Taoist pantheon,fictional_character,wikidata_fictional_characters_en,Q1154683,en_romanized,true,,0.92
Puck,puck,"character from Shakespeare's ""Midsummer Night's Dream"" play",fictional_character,wikidata_fictional_characters_en,Q1248616,en_romanized,true,,0.92
Sportacus,sportacus,Lazy Town superhero,fictional_character,wikidata_fictional_characters_en,Q1979315,en_romanized,true,,0.92
Deedlit,deedlit,fictional character from Record of Lodoss War,fictional_character,wikidata_fictional_characters_en,Q1982850,en_romanized,true,,0.92
Zhinü,zhinü,Chinese goddess,fictional_character,wikidata_fictional_characters_en,Q2122828,en_romanized,true,,0.92
Oromis,oromis,fictional character from The Inheritance Cycle,fictional_character,wikidata_fictional_characters_en,Q2477429,en_romanized,true,,0.92
Holly Short,holly short,character of the Artemis Fowl novel series by Eoin Colfer,fictional_character,wikidata_fictional_characters_en,Q2517086,en_romanized,true,,0.92
Wong Tai Sin,wong tai sin,Taoist god,fictional_character,wikidata_fictional_characters_en,Q2548183,en_romanized,true,,0.92
Dalamar,dalamar,fictional character from Dragonlance,fictional_character,wikidata_fictional_characters_en,Q2916064,en_romanized,true,,0.92
Elaith Craulnober,elaith craulnober,"fictional character often likened to a ""silver snake"" because of his appearance",fictional_character,wikidata_fictional_characters_en,Q3050407,en_romanized,true,,0.92
Blödhgarm,blödhgarm,fictional character from The Inheritance Cycle,fictional_character,wikidata_fictional_characters_en,Q3641237,en_romanized,true,,0.92
Commander Vinyáya,commander vinyáya,fictional character from Artemis Fowl,fictional_character,wikidata_fictional_characters_en,Q3683920,en_romanized,true,,0.92
Tyrion,tyrion,fictional character from Warhammer,fictional_character,wikidata_fictional_characters_en,Q4001231,en_romanized,true,,0.92
Queen Islanzadí,queen islanzadí,fictional character from The Inheritance Cycle,fictional_character,wikidata_fictional_characters_en,Q4233702,en_romanized,true,,0.92
Zhang Xian,zhang xian,Chinese mythological figure,fictional_character,wikidata_fictional_characters_en,Q4515432,en_romanized,true,,0.92
Alhana Starbreeze,alhana starbreeze,fictional character in the Dragonlance universe,fictional_character,wikidata_fictional_characters_en,Q5668404,en_romanized,true,,0.92
Qingxu Daode Zhenjun,qingxu daode zhenjun,Investiture of the Gods character,fictional_character,wikidata_fictional_characters_en,Q7267871,en_romanized,true,,0.92
Yunzhongzi,yunzhongzi,Investiture of the Gods character,fictional_character,wikidata_fictional_characters_en,Q8061419,en_romanized,true,,0.92
Francesca Findabair,francesca findabair,fictional sorceress from the Witcher series,fictional_character,wikidata_fictional_characters_en,Q9262066,en_romanized,true,,0.92
Wać,wać,Hindu goddess,fictional_character,wikidata_fictional_characters_en,Q9371672,en_romanized,true,,0.92
Subhuti,subhuti,Journey to the West character,fictional_character,wikidata_fictional_characters_en,Q10509106,en_romanized,true,,0.92
Ithlinne Aegli,ithlinne aegli,,fictional_character,wikidata_fictional_characters_en,Q11714280,en_romanized,true,,0.92
Lara Dorren,lara dorren,fictional character from The Witcher,fictional_character,wikidata_fictional_characters_en,Q11752865,en_romanized,true,,0.92
Vrael,vrael,,fictional_character,wikidata_fictional_characters_en,Q15141738,en_romanized,true,,0.92
E.L.F.S. Leader,e.l.f.s. leader,character from The Santa Clause,fictional_character,wikidata_fictional_characters_en,Q25933447,en_romanized,true,,0.92
Elfenkönigin,elfenkönigin,operatic character in the opera Gernot,fictional_character,wikidata_fictional_characters_en,Q55040223,en_romanized,true,,0.92
Rayla,rayla,fictional character from the animated television series The Dragon Prince,fictional_character,wikidata_fictional_characters_en,Q61823111,en_romanized,true,,0.92
Cobweb,cobweb,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten,fictional_character,wikidata_fictional_characters_en,Q63534368,en_romanized,true,,0.92
Mustardseed,mustardseed,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten,fictional_character,wikidata_fictional_characters_en,Q63534379,en_romanized,true,,0.92
Moth,moth,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten,fictional_character,wikidata_fictional_characters_en,Q63534377,en_romanized,true,,0.92
Peaseblossom,peaseblossom,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten,fictional_character,wikidata_fictional_characters_en,Q63534381,en_romanized,true,,0.92
Erufuda,erufuda,fictional character from Plus-Sized Elf,fictional_character,wikidata_fictional_characters_en,Q65871411,en_romanized,true,,0.92
Toruviel,toruviel,fictional character from Witcher series,fictional_character,wikidata_fictional_characters_en,Q73223416,en_romanized,true,,0.92
Filavandrel,filavandrel,fictional character from the Witcher series,fictional_character,wikidata_fictional_characters_en,Q73257874,en_romanized,true,,0.92
Aaravos,aaravos,fictional character from the animated television series The Dragon Prince,fictional_character,wikidata_fictional_characters_en,Q76933713,en_romanized,true,,0.92
Solas,solas,fictional character from Dragon Age,fictional_character,wikidata_fictional_characters_en,Q86753222,en_romanized,true,,0.92
Sera,sera,fictional character in Dragon Age franchise,fictional_character,wikidata_fictional_characters_en,Q86755332,en_romanized,true,,0.92
Ganesha,ganesha,"God of good luck, prosperity and well being in Hinduism; First worshipped God; Son of Shiva and Parvati",fictional_character,wikidata_fictional_characters_en,Q1579,en_romanized,true,,0.92
Jupiter,jupiter,chief deity of Roman state religion,fictional_character,wikidata_fictional_characters_en,Q4649,en_romanized,true,,0.92
Shiva,shiva,one of the principal deities of Hinduism,fictional_character,wikidata_fictional_characters_en,Q11378,en_romanized,true,,0.92
Vishnu,vishnu,one of the principal deities of Hinduism,fictional_character,wikidata_fictional_characters_en,Q11380,en_romanized,true,,0.92
Osiris,osiris,god of the afterlife in Egyptian mythology,fictional_character,wikidata_fictional_characters_en,Q46491,en_romanized,true,,0.92
Baal-hamon,baal-hamon,chief god in ancient Carthagian religion,fictional_character,wikidata_fictional_characters_en,Q83879,en_romanized,true,,0.92
Kamadeva,kamadeva,Hindu god of love,fictional_character,wikidata_fictional_characters_en,Q113155,en_romanized,true,,0.92
Eros,eros,Greek god of love and sex,fictional_character,wikidata_fictional_characters_en,Q121973,en_romanized,true,,0.92
Indra,indra,"Vedic god of rain, weather, storms, and thunder in Hinduism, Buddhism, Jainism, and Eastern religions",fictional_character,wikidata_fictional_characters_en,Q128335,en_romanized,true,,0.92
Aten,aten,ancient Egyptian god,fictional_character,wikidata_fictional_characters_en,Q130227,en_romanized,true,,0.92
Lady Midday,lady midday,"Slavic mythological creature, personification of sunstroke",fictional_character,wikidata_fictional_characters_en,Q160010,en_romanized,true,,0.92
undine,undine,elemental beings associated with water introduced by Paracelsus in the 16th century,fictional_character,wikidata_fictional_characters_en,Q192032,en_romanized,true,,0.92
Askr and Embla,askr and embla,"first two humans, created by the gods in Norse mythology from trees",fictional_character,wikidata_fictional_characters_en,Q212858,en_romanized,true,,0.92
Eight Immortals,eight immortals,group of legendary xian (immortals) in Chinese mythology,fictional_character,wikidata_fictional_characters_en,Q340843,en_romanized,true,,0.92
Jurōjin,jurōjin,deity in Japanese mythology,fictional_character,wikidata_fictional_characters_en,Q389611,en_romanized,true,,0.92
Pincoya,pincoya,"female ""water spirit"" of the Chilotan Seas",fictional_character,wikidata_fictional_characters_en,Q532865,en_romanized,true,,0.92
Sandman,sandman,mythical character,fictional_character,wikidata_fictional_characters_en,Q627323,en_romanized,true,,0.92
Eve,eve,The first woman in the story of Genesis,fictional_character,wikidata_fictional_characters_en,Q830183,en_romanized,true,,0.92
Guangchengzi,guangchengzi,deity,fictional_character,wikidata_fictional_characters_en,Q986081,en_romanized,true,,0.92
Hou Yi,hou yi,Chinese mythological archer,fictional_character,wikidata_fictional_characters_en,Q1065105,en_romanized,true,,0.92
Zhong Kui,zhong kui,deity in Chinese mythology,fictional_character,wikidata_fictional_characters_en,Q1092708,en_romanized,true,,0.92
Jessica Rabbit,jessica rabbit,fictional character from the novel Who Censored Roger Rabbit? and its film adaption Who Framed Roger Rabbit,fictional_character,wikidata_fictional_characters_en,Q1631670,en_romanized,true,,0.92
Coco,coco,mythical ghost-monster found in many Hispanic and Lusophone countries,fictional_character,wikidata_fictional_characters_en,Q1707194,en_romanized,true,,0.92
Tikoloshe,tikoloshe,Zulu water spirit,fictional_character,wikidata_fictional_characters_en,Q1758833,en_romanized,true,,0.92
Slattenpatte,slattenpatte,Danish mythical creature,fictional_character,wikidata_fictional_characters_en,Q1805429,en_romanized,true,,0.92
Nachtkrapp,nachtkrapp,figure used in threatening children,fictional_character,wikidata_fictional_characters_en,Q1962768,en_romanized,true,,0.92
Roger Rabbit,roger rabbit,fictional cartoon character from the novel Who Censored Roger Rabbit? and its film adaptation Who Framed Roger Rabbit,fictional_character,wikidata_fictional_characters_en,Q2265878,en_romanized,true,,0.92
Baigujing,baigujing,demon from the novel Journey to the West,fictional_character,wikidata_fictional_characters_en,Q2879822,en_romanized,true,,0.92
Kokkoro,kokkoro,fictional character from Princess Connect! Re:Dive,fictional_character,wikidata_fictional_characters_en,Q87718895,en_romanized,true,,0.92
