name,normalized_name,description,type,source,source_id,language_hint,romanized,alias_of,confidence
Georgina Cassar,georgina cassar,Gibraltarian rhythmic gymnast (born 1993),person,wikidata_people_en,Q839,en_romanized,true,,0.95
Pedro Aguirre Cerda,pedro aguirre cerda,Chilean politician and president (1879-1941),person,wikidata_people_en,Q845,en_romanized,true,,0.95
Arturo Alessandri,arturo alessandri,Chilean politician and President (1868–1950),person,wikidata_people_en,Q848,en_romanized,true,,0.95
François Villon,françois villon,French poet and criminal,person,wikidata_people_en,Q849,en_romanized,true,,0.95
Joseph Stalin,joseph stalin,leader of the Soviet Union from 1924 to 1953,person,wikidata_people_en,Q855,en_romanized,true,,0.95
Andrei Tarkovsky,andrei tarkovsky,"Soviet and Russian film director, screenwriter, film editor, film theorist, theatre and opera director (1932–1986)",person,wikidata_people_en,Q853,en_romanized,true,,0.95
Plato,plato,4th-century BCE Greek philosopher,person,wikidata_people_en,Q859,en_romanized,true,,0.95
Juan Luis Sanfuentes,juan luis sanfuentes,Chilean politician and President (1858-1930),person,wikidata_people_en,Q857,en_romanized,true,,0.95
Vladimir Lenin,vladimir lenin,founding leader of the Soviet Union from 1922 to 1924 (1870–1924),person,wikidata_people_en,Q1394,en_romanized,true,,0.95
Leo Ortolani,leo ortolani,Italian comics author (1967-),person,wikidata_people_en,Q1395,en_romanized,true,,0.95
Virgil,virgil,Roman poet (1st century BC),person,wikidata_people_en,Q1398,en_romanized,true,,0.95
Niccolò Machiavelli,niccolò machiavelli,Italian diplomat and political and military theorist (1469–1527),person,wikidata_people_en,Q1399,en_romanized,true,,0.95
Augustus,augustus,first emperor of the Roman Empire and founder of the Julio-Claudian dynasty,person,wikidata_people_en,Q1405,en_romanized,true,,0.95
Renaud Lavillenie,renaud lavillenie,French pole vaulter,person,wikidata_people_en,Q1742,en_romanized,true,,0.95
Björn Otto,björn otto,German pole vaulter,person,wikidata_people_en,Q1743,en_romanized,true,,0.95
Mitchell Watt,mitchell watt,Australian track and field athlete,person,wikidata_people_en,Q1747,en_romanized,true,,0.95
Madonna,madonna,"American singer, songwriter, and actress (born 1958)",person,wikidata_people_en,Q1744,en_romanized,true,,0.95
Greg Rutherford,greg rutherford,British long jumper,person,wikidata_people_en,Q1745,en_romanized,true,,0.95
Will Claye,will claye,American triple jumper and long jumper,person,wikidata_people_en,Q1750,en_romanized,true,,0.95
Christian Taylor,christian taylor,American track and field athlete,person,wikidata_people_en,Q1751,en_romanized,true,,0.95
Tomasz Majewski,tomasz majewski,Polish shot putter,person,wikidata_people_en,Q1755,en_romanized,true,,0.95
Macrinus,macrinus,Roman emperor from 217 to 218,person,wikidata_people_en,Q1752,en_romanized,true,,0.95
Fabrizio Donato,fabrizio donato,Italian triple jumper and long jumper,person,wikidata_people_en,Q1753,en_romanized,true,,0.95
David Storl,david storl,German shot putter,person,wikidata_people_en,Q1758,en_romanized,true,,0.95
Elagabalus,elagabalus,Roman Emperor (218-222),person,wikidata_people_en,Q1762,en_romanized,true,,0.95
Reese Hoffa,reese hoffa,American shot putter,person,wikidata_people_en,Q1760,en_romanized,true,,0.95
Ehsan Hadadi,ehsan hadadi,Iranian discus thrower,person,wikidata_people_en,Q1771,en_romanized,true,,0.95
Ella Fitzgerald,ella fitzgerald,American jazz singer (1917–1996),person,wikidata_people_en,Q1768,en_romanized,true,,0.95
Severus Alexander,severus alexander,Roman Emperor (208-235),person,wikidata_people_en,Q1769,en_romanized,true,,0.95
Brownie Mary,brownie mary,American medical cannabis activist (1922–1999),person,wikidata_people_en,Q1775,en_romanized,true,,0.95
Gerd Kanter,gerd kanter,Estonian athletics competitor and coach (born 1979),person,wikidata_people_en,Q1776,en_romanized,true,,0.95
Jan I Carondelet,jan i carondelet,Burgundian jurist and politician,person,wikidata_people_en,Q1786,en_romanized,true,,0.95
Keshorn Walcott,keshorn walcott,Trinidadian javelin thrower,person,wikidata_people_en,Q1787,en_romanized,true,,0.95
Titus Livius,titus livius,Roman historian (59 BC – AD 17),person,wikidata_people_en,Q2039,en_romanized,true,,0.95
Charles de Gaulle,charles de gaulle,French general and statesman (1890–1970),person,wikidata_people_en,Q2042,en_romanized,true,,0.95
Giuseppe Farina,giuseppe farina,Italian racecar driver (1906-1966),person,wikidata_people_en,Q2040,en_romanized,true,,0.95
Seneca,seneca,"Roman Stoic philosopher, statesman and dramatist (c. 4 BCE–65 CE)",person,wikidata_people_en,Q2054,en_romanized,true,,0.95
David Lynch,david lynch,"American filmmaker, visual artist, musician, and actor (1946–2025)",person,wikidata_people_en,Q2071,en_romanized,true,,0.95
Juan Manuel Fangio,juan manuel fangio,Argentine racing driver (1911–1995),person,wikidata_people_en,Q2069,en_romanized,true,,0.95
Alberto Ascari,alberto ascari,Italian racing driver (1918–1955),person,wikidata_people_en,Q2086,en_romanized,true,,0.95
Giridharilal Kedia,giridharilal kedia,Indian social entrepreneur (1936-2009),person,wikidata_people_en,Q2147,en_romanized,true,,0.95
George Washington,george washington,Founding Father and first U.S. president; soldier and slave owner (1732–1799),person,wikidata_people_en,Q23,en_romanized,true,,0.95
Douglas Adams,douglas adams,British science fiction writer and humorist (1952–2001),person,wikidata_people_en,Q42,en_romanized,true,,0.95
Barack Obama,barack obama,president of the United States from 2009 to 2017,person,wikidata_people_en,Q76,en_romanized,true,,0.95
Tim Berners-Lee,tim berners-lee,English computer scientist (born 1955),person,wikidata_people_en,Q80,en_romanized,true,,0.95
Abraham Lincoln,abraham lincoln,president of the United States from 1861 to 1865 (1809–1865),person,wikidata_people_en,Q91,en_romanized,true,,0.95
François Hollande,françois hollande,President of France from 2012 to 2017,person,wikidata_people_en,Q157,en_romanized,true,,0.95
Jimmy Wales,jimmy wales,co-founder of Wikipedia (born 1966),person,wikidata_people_en,Q181,en_romanized,true,,0.95
