id,name,description
Q70899,Adam,"first man according to the Abrahamic creation and religions such as Judaism, Christianity and Islam"
Q131346,Pandora,"mythological figure, first human woman created by Hephaestus"
Q778400,Arya,character in Inheritance Cycle tetralogy
Q834590,Bull Demon King,character in the novel Journey to the West
Q925042,Krampus,mythical figure
Q980598,Andriambahomanana,first man in Malagasy mythology
Q1077286,Keyumars,ancient Iranian mythological figure
Q1114013,Sumiyoshi sanjin,Shinto gods of the sea and sailing
Q1130642,Laurana Kanan,fictional character from Dragonlance
Q1154683,Daode Tianzun,deification of Laozi in the Taoist pantheon
Q1248616,Puck,"character from Shakespeare's ""Midsummer Night's Dream"" play"
Q1979315,Sportacus,Lazy Town superhero
Q1982850,Deedlit,fictional character from Record of Lodoss War
Q2122828,Zhinü,Chinese goddess
Q2477429,Oromis,fictional character from The Inheritance Cycle
Q2517086,Holly Short,character of the Artemis Fowl novel series by Eoin Colfer
Q2548183,Wong Tai Sin,Taoist god
Q2916064,Dalamar,fictional character from Dragonlance
Q3050407,Elaith Craulnober,"fictional character often likened to a ""silver snake"" because of his appearance"
Q3641237,Blödhgarm,fictional character from The Inheritance Cycle
Q3683920,Commander Vinyáya,fictional character from Artemis Fowl
Q4001231,Tyrion,fictional character from Warhammer
Q4233702,Queen Islanzadí,fictional character from The Inheritance Cycle
Q4515432,Zhang Xian,Chinese mythological figure
Q5668404,Alhana Starbreeze,fictional character in the Dragonlance universe
Q7267871,Qingxu Daode Zhenjun,Investiture of the Gods character
Q8061419,Yunzhongzi,Investiture of the Gods character
Q9262066,Francesca Findabair,fictional sorceress from the Witcher series
Q9371672,Wać,Hindu goddess
Q10509106,Subhuti,Journey to the West character
Q11714280,Ithlinne Aegli,
Q11752865,Lara Dorren,fictional character from The Witcher
Q15141738,Vrael,
Q25933447,E.L.F.S. Leader,character from The Santa Clause
Q55040223,Elfenkönigin,operatic character in the opera Gernot
Q61823111,Rayla,fictional character from the animated television series The Dragon Prince
Q63534368,Cobweb,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten
Q63534379,Mustardseed,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten
Q63534377,Moth,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten
Q63534381,Peaseblossom,operatic character in the opera A Midsummer Night's Dream by Benjamin Britten
Q65871411,Erufuda,fictional character from Plus-Sized Elf
Q73223416,Toruviel,fictional character from Witcher series
Q73257874,Filavandrel,fictional character from the Witcher series
Q76933713,Aaravos,fictional character from the animated television series The Dragon Prince
Q86753222,Solas,fictional character from Dragon Age
Q86755332,Sera,fictional character in Dragon Age franchise
Q1579,Ganesha,"God of good luck, prosperity and well being in Hinduism; First worshipped God; Son of Shiva and Parvati"
Q4649,Jupiter,chief deity of Roman state religion
Q11378,Shiva,one of the principal deities of Hinduism
Q11380,Vishnu,one of the principal deities of Hinduism
Q46491,Osiris,god of the afterlife in Egyptian mythology
Q83879,Baal-hamon,chief god in ancient Carthagian religion
Q113155,Kamadeva,Hindu god of love
Q121973,Eros,Greek god of love and sex
Q128335,Indra,"Vedic god of rain, weather, storms, and thunder in Hinduism, Buddhism, Jainism, and Eastern religions"
Q130227,Aten,ancient Egyptian god
Q160010,Lady Midday,"Slavic mythological creature, personification of sunstroke"
Q192032,undine,elemental beings associated with water introduced by Paracelsus in the 16th century
Q212858,Askr and Embla,"first two humans, created by the gods in Norse mythology from trees"
Q340843,Eight Immortals,group of legendary xian (immortals) in Chinese mythology
Q389611,Jurōjin,deity in Japanese mythology
Q532865,Pincoya,"female ""water spirit"" of the Chilotan Seas"
Q627323,Sandman,mythical character
Q830183,Eve,The first woman in the story of Genesis
Q986081,Guangchengzi,deity
Q1065105,Hou Yi,Chinese mythological archer
Q1092708,Zhong Kui,deity in Chinese mythology
Q1631670,Jessica Rabbit,fictional character from the novel Who Censored Roger Rabbit? and its film adaption Who Framed Roger Rabbit
Q1707194,Coco,mythical ghost-monster found in many Hispanic and Lusophone countries
