id,name,description
Q839,Georgina Cassar,Gibraltarian rhythmic gymnast (born 1993)
Q845,Pedro Aguirre Cerda,Chilean politician and president (1879-1941)
Q848,Arturo Alessandri,Chilean politician and President (1868–1950)
Q849,François Villon,French poet and criminal
Q855,Joseph Stalin,leader of the Soviet Union from 1924 to 1953
Q853,Andrei Tarkovsky,"Soviet and Russian film director, screenwriter, film editor, film theorist, theatre and opera director (1932–1986)"
Q859,Plato,4th-century BCE Greek philosopher
Q857,Juan Luis Sanfuentes,Chilean politician and President (1858-1930)
Q1394,Vladimir Lenin,founding leader of the Soviet Union from 1922 to 1924 (1870–1924)
Q1395,Leo Ortolani,Italian comics author (1967-)
Q1398,Virgil,Roman poet (1st century BC)
Q1399,Niccolò Machiavelli,Italian diplomat and political and military theorist (1469–1527)
Q1405,Augustus,first emperor of the Roman Empire and founder of the Julio-Claudian dynasty
Q1742,Renaud Lavillenie,French pole vaulter
Q1743,Björn Otto,German pole vaulter
Q1747,Mitchell Watt,Australian track and field athlete
Q1744,Madonna,"American singer, songwriter, and actress (born 1958)"
Q1745,Greg Rutherford,British long jumper
Q1750,Will Claye,American triple jumper and long jumper
Q1751,Christian Taylor,American track and field athlete
Q1755,Tomasz Majewski,Polish shot putter
Q1752,Macrinus,Roman emperor from 217 to 218
Q1753,Fabrizio Donato,Italian triple jumper and long jumper
Q1758,David Storl,German shot putter
Q1762,Elagabalus,Roman Emperor (218-222)
Q1760,Reese Hoffa,American shot putter
Q1771,Ehsan Hadadi,Iranian discus thrower
Q1768,Ella Fitzgerald,American jazz singer (1917–1996)
Q1769,Severus Alexander,Roman Emperor (208-235)
Q1775,Brownie Mary,American medical cannabis activist (1922–1999)
Q1776,Gerd Kanter,Estonian athletics competitor and coach (born 1979)
Q1786,Jan I Carondelet,Burgundian jurist and politician
Q1787,Keshorn Walcott,Trinidadian javelin thrower
Q2039,Titus Livius,Roman historian (59 BC – AD 17)
Q2042,Charles de Gaulle,French general and statesman (1890–1970)
Q2040,Giuseppe Farina,Italian racecar driver (1906-1966)
Q2054,Seneca,"Roman Stoic philosopher, statesman and dramatist (c. 4 BCE–65 CE)"
Q2071,David Lynch,"American filmmaker, visual artist, musician, and actor (1946–2025)"
Q2069,Juan Manuel Fangio,Argentine racing driver (1911–1995)
Q2086,Alberto Ascari,Italian racing driver (1918–1955)
Q2147,Giridharilal Kedia,Indian social entrepreneur (1936-2009)
Q23,George Washington,Founding Father and first U.S. president; soldier and slave owner (1732–1799)
Q42,Douglas Adams,British science fiction writer and humorist (1952–2001)
Q76,Barack Obama,president of the United States from 2009 to 2017
Q80,Tim Berners-Lee,English computer scientist (born 1955)
Q91,Abraham Lincoln,president of the United States from 1861 to 1865 (1809–1865)
Q157,François Hollande,President of France from 2012 to 2017
Q181,Jimmy Wales,co-founder of Wikipedia (born 1966)
Q192,David Cameron,British politician (born 1966)
Q255,Ludwig van Beethoven,German composer (1770–1827)
Q260,Jean-François Champollion,French classical scholar (1790-1832)
Q272,Paul Morand,French writer (1888-1976)
Q296,Claude Monet,French painter (1840–1926)
Q297,Diego Velázquez,Spanish painter (1599-1660)
Q862,Joseph Brodsky,Russian-American poet (1940-1996)
Q868,Aristotle,4th-century BCE Classical Greek philosopher and polymath
Q873,Meryl Streep,American actress
Q1402,Giovanni Boccaccio,Italian author and poet (1313–1375)
Q1401,Petrarch,Italian scholar and poet (1304-1374)
Q1407,Tiberius,second Roman Emperor from 14 to 37 AD
Q1409,Caligula,third Roman emperor (37–41)
Q1766,Robert Harting,German discus thrower
Q1778,Krisztián Pars,Hungarian hammer thrower
Q1779,Louis Armstrong,"American jazz musician, trumpeter and singer (1901–1971)"
Q1777,Maximinus Thrax,Roman Emperor (173-238)
Q1782,Gordian I,Roman Emperor
Q1783,Primož Kozmus,Slovenian hammer thrower
Q1784,Koji Murofushi,"Japanese hammer thrower, university professor (physical education), commissioner of the Japan sports agency"
